model,historical_minimax_candidate,one_probe_tolerance_candidate,flores_best_candidate,base_flores_rate,best_flores_rate,base_mj_rate,base_lg_rate
falcon3_10b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n8,0.92,0.93,0.9166666666666666,0.9166666666666666
falcon3_3b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n2,0.74,0.74,0.75,0.75
falcon3_7b,g3_ordered_n8,g3_ordered_n2,g3_ordered_n6,0.87,0.91,0.7916666666666666,0.9166666666666666
gemma2_27b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n2,1.0,1.0,1.0,0.9583333333333334
gemma2_2b_it,g3_ordered_n2,g3_ordered_n2,g3_ordered_n2,0.92,0.92,0.7916666666666666,0.7083333333333334
gemma2_9b_it,g3_ordered_n2,g3_ordered_n2,g3_ordered_n6,0.96,0.99,1.0,1.0
glm4_9b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n4,0.79,0.82,1.0,0.9583333333333334
llama31_8b_it,g3_ordered_n2,g3_ordered_n2,g3_ordered_n4,0.92,0.95,0.9583333333333334,0.9583333333333334
llama32_3b_it,g3_ordered_n2,g3_ordered_n2,g3_ordered_n2,0.8,0.8,0.9583333333333334,1.0
mistral24b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n2,1.0,1.0,1.0,1.0
mistral7b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n6,0.86,0.92,0.9166666666666666,0.9583333333333334
phi35_mini,g3_ordered_n2,g3_ordered_n2,g3_ordered_n6,0.85,0.92,0.7916666666666666,0.875
phi3_medium_14b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n4,0.92,0.97,0.875,1.0
qwen25_14b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n6,0.94,0.97,0.9583333333333334,1.0
qwen25_32b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n6,0.99,1.0,1.0,1.0
qwen25_3b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n2,0.8,0.8,0.9583333333333334,1.0
qwen25_7b,g3_ordered_n2,g3_ordered_n2,g3_ordered_n6,0.89,0.91,0.9166666666666666,1.0
